price_date,fund_code,nav,currency
2026-08-03,FND-106,31.5206,CAD
2026-08-04,FND-106,31.4384,CAD
2026-08-05,FND-106,31.1892,CAD
2026-08-06,FND-106,30.9955,CAD
2026-08-07,FND-106,31.0630,CAD
2026-08-10,FND-106,30.9076,CAD
2026-08-11,FND-106,31.2064,CAD
2026-08-12,FND-106,31.3712,CAD
2026-08-13,FND-106,31.5326,CAD
2026-08-14,FND-106,31.6786,CAD
2026-08-17,FND-106,31.2405,CAD
2026-08-18,FND-106,31.1947,CAD
2026-08-19,FND-106,31.3055,CAD
2026-08-20,FND-106,31.3568,CAD
2026-08-21,FND-106,31.2473,CAD
2026-08-24,FND-106,31.3717,CAD
2026-08-25,FND-106,31.2673,CAD
2026-08-26,FND-106,30.8842,CAD
2026-08-27,FND-106,31.1003,CAD
2026-08-28,FND-106,31.2107,CAD
2026-08-31,FND-106,31.4439,CAD
2026-08-03,FND-107,52.2719,USD
2026-08-04,FND-107,52.4010,USD
2026-08-05,FND-107,51.8010,USD
2026-08-06,FND-107,51.7338,USD
2026-08-07,FND-107,51.9804,USD
2026-08-10,FND-107,51.6623,USD
2026-08-11,FND-107,51.7836,USD
2026-08-12,FND-107,52.0875,USD
2026-08-13,FND-107,52.0805,USD
2026-08-14,FND-107,52.1321,USD
2026-08-17,FND-107,51.9129,USD
2026-08-18,FND-107,51.2691,USD
2026-08-19,FND-107,51.7127,USD
2026-08-20,FND-107,51.7197,USD
2026-08-21,FND-107,51.4258,USD
2026-08-24,FND-107,51.1253,USD
2026-08-25,FND-107,51.1664,USD
2026-08-26,FND-107,51.1910,USD
2026-08-27,FND-107,51.1533,USD
2026-08-28,FND-107,51.2056,USD
2026-08-31,FND-107,51.1552,USD
2026-08-03,FND-108,27.3885,USD
2026-08-04,FND-108,27.4677,USD
2026-08-05,FND-108,27.4263,USD
2026-08-06,FND-108,27.6774,USD
2026-08-07,FND-108,27.6264,USD
2026-08-10,FND-108,27.3948,USD
2026-08-11,FND-108,27.4562,USD
2026-08-12,FND-108,27.5670,USD
2026-08-13,FND-108,27.2352,USD
2026-08-14,FND-108,26.8747,USD
2026-08-17,FND-108,27.0459,USD
2026-08-18,FND-108,27.1663,USD
2026-08-19,FND-108,27.2515,USD
2026-08-20,FND-108,27.2096,USD
2026-08-21,FND-108,27.4755,USD
2026-08-24,FND-108,27.3076,USD
2026-08-25,FND-108,27.1399,USD
2026-08-26,FND-108,27.2904,USD
2026-08-27,FND-108,27.1928,USD
2026-08-28,FND-108,27.2532,USD
2026-08-31,FND-108,27.3929,USD
2026-08-03,FND-109,37.7823,CAD
2026-08-04,FND-109,37.9083,CAD
2026-08-05,FND-109,38.4315,CAD
2026-08-06,FND-109,38.2453,CAD
2026-08-07,FND-109,38.2515,CAD
2026-08-10,FND-109,38.1238,CAD
2026-08-11,FND-109,38.1543,CAD
2026-08-12,FND-109,37.9757,CAD
2026-08-13,FND-109,37.8363,CAD
2026-08-14,FND-109,37.6439,CAD
2026-08-17,FND-109,37.9017,CAD
2026-08-18,FND-109,37.9787,CAD
2026-08-19,FND-109,38.1656,CAD
2026-08-20,FND-109,38.2865,CAD
2026-08-21,FND-109,38.6750,CAD
2026-08-24,FND-109,39.1305,CAD
2026-08-25,FND-109,39.0463,CAD
2026-08-26,FND-109,38.9825,CAD
2026-08-27,FND-109,38.7443,CAD
2026-08-28,FND-109,38.8071,CAD
2026-08-31,FND-109,38.8888,CAD
