account_id,client_ref,fund_code,units,as_of_date
ACC-1008,CR-897247-G,FND-107,881.1145,2026-07-31
ACC-1008,CR-897247-G,FND-109,859.5081,2026-07-31
ACC-1009,CR-389776-C,FND-101,1735.5482,2026-07-31
ACC-1009,CR-389776-C,FND-102,2210.8480,2026-07-31
ACC-1009,CR-389776-C,FND-103,2422.8015,2026-07-31
ACC-1009,CR-389776-C,FND-104,848.7593,2026-07-31
ACC-1010,CR-943043-B,FND-101,176.1494,2026-07-31
ACC-1010,CR-943043-B,FND-103,2002.4417,2026-07-31
ACC-1010,CR-943043-B,FND-104,682.2717,2026-07-31
ACC-1010,CR-943043-B,FND-108,1592.6848,2026-07-31
ACC-1011,CR-136745-E,FND-104,673.1584,2026-07-31
ACC-1011,CR-136745-E,FND-105,2013.2983,2026-07-31
ACC-1011,CR-136745-E,FND-108,2250.6612,2026-07-31
ACC-1011,CR-136745-E,FND-109,1190.5509,2026-07-31
ACC-1012,CR-131183-C,FND-102,1846.6132,2026-07-31
ACC-1012,CR-131183-C,FND-103,728.9111,2026-07-31
ACC-1012,CR-131183-C,FND-104,792.5995,2026-07-31
ACC-1012,CR-131183-C,FND-108,2237.2964,2026-07-31
ACC-1013,CR-239949-H,FND-105,106.5860,2026-07-31
ACC-1013,CR-239949-H,FND-106,1994.2546,2026-07-31
ACC-1013,CR-239949-H,FND-108,2414.2887,2026-07-31
ACC-1014,CR-413459-F,FND-102,2374.0531,2026-07-31
ACC-1014,CR-413459-F,FND-103,197.5691,2026-07-31
ACC-1014,CR-413459-F,FND-105,1469.2567,2026-07-31
ACC-1014,CR-413459-F,FND-106,1807.2392,2026-07-31
ACC-1014,CR-413459-F,FND-107,61.3282,2026-07-31
ACC-1015,CR-668840-D,FND-102,1911.7228,2026-07-31
ACC-1015,CR-668840-D,FND-103,294.6698,2026-07-31
ACC-1015,CR-668840-D,FND-106,2466.3096,2026-07-31
ACC-1015,CR-668840-D,FND-107,808.2126,2026-07-31
ACC-1015,CR-668840-D,FND-108,396.6834,2026-07-31
ACC-1016,CR-994125-A,FND-104,561.9511,2026-07-31
ACC-1016,CR-994125-A,FND-106,781.8258,2026-07-31
ACC-1016,CR-994125-A,FND-108,384.7159,2026-07-31
ACC-1017,CR-261758-G,FND-101,577.9277,2026-07-31
ACC-1017,CR-261758-G,FND-103,2165.1099,2026-07-31
ACC-1017,CR-261758-G,FND-106,1060.0499,2026-07-31
ACC-1017,CR-261758-G,FND-107,1948.6158,2026-07-31
ACC-1017,CR-261758-G,FND-109,958.5008,2026-07-31
ACC-1018,CR-681846-G,FND-101,817.7153,2026-07-31
ACC-1018,CR-681846-G,FND-103,651.7649,2026-07-31
ACC-1019,CR-572467-J,FND-101,921.6361,2026-07-31
ACC-1019,CR-572467-J,FND-103,859.3784,2026-07-31
ACC-1019,CR-572467-J,FND-105,2011.4831,2026-07-31
ACC-1019,CR-572467-J,FND-109,952.6982,2026-07-31
ACC-1020,CR-788569-K,FND-101,1315.7096,2026-07-31
ACC-1020,CR-788569-K,FND-103,158.7143,2026-07-31
ACC-1020,CR-788569-K,FND-104,1145.1712,2026-07-31
ACC-1020,CR-788569-K,FND-106,862.9165,2026-07-31
ACC-1021,CR-478599-B,FND-103,1884.3255,2026-07-31
ACC-1021,CR-478599-B,FND-106,697.5205,2026-07-31
ACC-1021,CR-478599-B,FND-108,676.0938,2026-07-31
ACC-1022,CR-996587-K,FND-101,1135.0086,2026-07-31
ACC-1022,CR-996587-K,FND-102,398.1763,2026-07-31
ACC-1022,CR-996587-K,FND-106,1063.6309,2026-07-31
ACC-1022,CR-996587-K,FND-109,774.3448,2026-07-31
ACC-1023,CR-606871-D,FND-101,993.2069,2026-07-31
ACC-1023,CR-606871-D,FND-103,535.3699,2026-07-31
ACC-1023,CR-606871-D,FND-104,81.9371,2026-07-31
ACC-1023,CR-606871-D,FND-105,330.4869,2026-07-31
ACC-1023,CR-606871-D,FND-109,50.7270,2026-07-31
ACC-1024,CR-227554-G,FND-101,947.1570,2026-07-31
ACC-1024,CR-227554-G,FND-105,1368.1599,2026-07-31
ACC-1024,CR-227554-G,FND-106,972.3685,2026-07-31
ACC-1024,CR-227554-G,FND-108,1643.8927,2026-07-31
ACC-1025,CR-248506-E,FND-105,979.8776,2026-07-31
ACC-1025,CR-248506-E,FND-107,1620.6064,2026-07-31
ACC-1025,CR-248506-E,FND-108,604.6675,2026-07-31
ACC-1026,CR-566361-F,FND-101,1826.5497,2026-07-31
ACC-1026,CR-566361-F,FND-102,1448.5224,2026-07-31
ACC-1026,CR-566361-F,FND-104,2027.8694,2026-07-31
ACC-1026,CR-566361-F,FND-106,2215.7252,2026-07-31
ACC-1026,CR-566361-F,FND-108,1969.2013,2026-07-31
ACC-1027,CR-866359-C,FND-101,739.8402,2026-07-31
ACC-1027,CR-866359-C,FND-102,1877.1754,2026-07-31
ACC-1027,CR-866359-C,FND-103,1531.7114,2026-07-31
ACC-1027,CR-866359-C,FND-106,1187.4729,2026-07-31
ACC-1028,CR-130212-A,FND-103,1948.6245,2026-07-31
ACC-1028,CR-130212-A,FND-104,929.4425,2026-07-31
ACC-1028,CR-130212-A,FND-106,2050.8069,2026-07-31
ACC-1028,CR-130212-A,FND-107,158.4935,2026-07-31
ACC-1028,CR-130212-A,FND-108,437.3456,2026-07-31
ACC-1029,CR-499954-J,FND-105,1338.6937,2026-07-31
ACC-1029,CR-499954-J,FND-109,2122.9717,2026-07-31
ACC-1030,CR-910870-D,FND-103,2129.8800,2026-07-31
ACC-1030,CR-910870-D,FND-104,1889.5553,2026-07-31
ACC-1030,CR-910870-D,FND-105,104.3248,2026-07-31
ACC-1030,CR-910870-D,FND-106,1984.7395,2026-07-31
ACC-1030,CR-910870-D,FND-108,1479.4989,2026-07-31
ACC-1031,CR-414702-G,FND-101,68.9328,2026-07-31
ACC-1031,CR-414702-G,FND-102,1846.3170,2026-07-31
ACC-1031,CR-414702-G,FND-103,1913.5438,2026-07-31
ACC-1031,CR-414702-G,FND-107,323.3125,2026-07-31
ACC-1031,CR-414702-G,FND-109,511.8845,2026-07-31
ACC-1032,CR-613628-C,FND-104,2120.3634,2026-07-31
ACC-1032,CR-613628-C,FND-109,1839.5699,2026-07-31
ACC-1033,CR-884054-A,FND-104,602.4407,2026-07-31
ACC-1033,CR-884054-A,FND-106,1335.4503,2026-07-31
ACC-1034,CR-420805-E,FND-104,1849.9876,2026-07-31
ACC-1034,CR-420805-E,FND-106,2314.2931,2026-07-31
ACC-1035,CR-848470-F,FND-101,746.7916,2026-07-31
ACC-1035,CR-848470-F,FND-103,131.0892,2026-07-31
ACC-1035,CR-848470-F,FND-105,1305.4121,2026-07-31
ACC-1035,CR-848470-F,FND-107,1613.2631,2026-07-31
ACC-1036,CR-353521-J,FND-103,1805.0562,2026-07-31
ACC-1036,CR-353521-J,FND-104,551.6568,2026-07-31
ACC-1036,CR-353521-J,FND-105,175.5505,2026-07-31
ACC-1037,CR-894798-D,FND-101,1414.9969,2026-07-31
ACC-1037,CR-894798-D,FND-103,932.6281,2026-07-31
ACC-1037,CR-894798-D,FND-104,1726.1919,2026-07-31
ACC-1037,CR-894798-D,FND-107,898.1161,2026-07-31
ACC-1038,CR-762956-G,FND-101,398.0600,2026-07-31
ACC-1038,CR-762956-G,FND-103,1165.4556,2026-07-31
ACC-1038,CR-762956-G,FND-108,632.7467,2026-07-31
ACC-1038,CR-762956-G,FND-109,1703.0845,2026-07-31
ACC-1039,CR-218347-C,FND-102,1617.9869,2026-07-31
ACC-1039,CR-218347-C,FND-103,419.0357,2026-07-31
ACC-1039,CR-218347-C,FND-104,565.5698,2026-07-31
ACC-1039,CR-218347-C,FND-105,1476.6701,2026-07-31
ACC-1039,CR-218347-C,FND-107,826.8972,2026-07-31
ACC-1040,CR-593506-B,FND-103,1620.3736,2026-07-31
ACC-1040,CR-593506-B,FND-104,730.9014,2026-07-31
ACC-1040,CR-593506-B,FND-106,2391.8512,2026-07-31
ACC-1040,CR-593506-B,FND-107,1323.7128,2026-07-31
