account_id,fund_code,units,market_value_cad,as_of_date
ACC-1036,FND-102,117.5203,1255.12,2026-08-31
ACC-1036,FND-103,1222.1415,19458.94,2026-08-31
ACC-1036,FND-104A,723.0139,13190.81,2026-08-31
ACC-1036,FND-105,175.5505,1755.51,2026-08-31
ACC-1036,FND-106,860.1219,27045.59,2026-08-31
ACC-1036,FND-107,178.5414,12433.19,2026-08-31
ACC-1036,FND-108,117.9097,4396.85,2026-08-31
ACC-1037,FND-101,1223.9677,29318.07,2026-08-31
ACC-1037,FND-102,220.7841,2357.97,2026-08-31
ACC-1037,FND-103,1210.7193,19277.07,2026-08-31
ACC-1037,FND-104A,974.8669,17785.67,2026-08-31
ACC-1037,FND-105,596.3527,5963.53,2026-08-31
ACC-1037,FND-106,700.7108,22033.08,2026-08-31
ACC-1037,FND-107,740.9848,51600.38,2026-08-31
ACC-1037,FND-108,340.2880,12689.32,2026-08-31
ACC-1038,FND-101,254.9311,6106.44,2026-08-31
ACC-1038,FND-102,77.9983,833.02,2026-08-31
ACC-1038,FND-103,1826.2442,29077.46,2026-08-31
ACC-1038,FND-104A,294.4060,5371.20,2026-08-31
ACC-1038,FND-105,207.0000,2070.00,2026-08-31
ACC-1038,FND-106,37.3108,1173.20,2026-08-31
ACC-1038,FND-107,68.7900,4790.37,2026-08-31
ACC-1038,FND-108,389.7786,14534.83,2026-08-31
ACC-1038,FND-109,1239.3647,48197.41,2026-08-31
ACC-1039,FND-101,26.8662,643.53,2026-08-31
ACC-1039,FND-102,2044.0984,21830.97,2026-08-31
ACC-1039,FND-103,349.1466,5559.11,2026-08-31
ACC-1039,FND-104A,798.1868,14562.28,2026-08-31
ACC-1039,FND-105,1238.1259,12381.26,2026-08-31
ACC-1039,FND-106,387.0429,12170.14,2026-08-31
ACC-1039,FND-107,826.8972,57583.11,2026-08-31
ACC-1039,FND-108,430.4025,16049.69,2026-08-31
ACC-1039,FND-109,254.4116,9893.76,2026-08-31
ACC-1040,FND-101,174.7030,4184.71,2026-08-31
ACC-1040,FND-103,1363.3216,21706.81,2026-08-31
ACC-1040,FND-104A,569.4598,10389.34,2026-08-31
ACC-1040,FND-105,282.0534,2820.53,2026-08-31
ACC-1040,FND-106,2606.8528,81969.62,2026-08-31
ACC-1040,FND-107,1233.1338,85872.45,2026-08-31
ACC-1040,FND-109,261.6857,10176.64,2026-08-31
